IdCargo,Tipo cargo,Cargo,Código,Grado,Asignación/Sueldo,Nivel
CAR001,Base,Profesional Universitario,,,,
CAR002,Base,Técnico,,,,
CAR003,Base,Auxiliar Administrativo,,,,
CAR004,Base,Asesor,,,,
CAR005,Base,Docente,,,,
CAR006,Base,Auxiliar,,,,
CAR007,Base,Médico,,,,
CAR008,Base,Profesional Universitario,222,06,6967000,
CAR009,Base,Profesional Universitario,219,02,5609000,
CAR010,Base,Profesional Universitario,219,05,6626000,
CAR011,Base,Técnico,219,05,6626000,
CAR012,Base,Auxiliar Administrativo,219,05,6626000,
CAR013,Base,Auxiliar Administrativo,222,06,6967000,
CAR014,Base,Profesional Universitario,314,07,4379000,
CAR015,Base,Auxiliar Administrativo,314,9,4476000,
CAR016,Base,Técnico,314,9,4476000,
CAR017,Base,Auxiliar Administrativo,367,07,4379000,
CAR018,Base,Profesional Universitario,367,9,4476000,
CAR019,Base,Auxiliar Administrativo,367,04,3710000,
CAR020,Base,Profesional Universitario,367,07,4379000,
CAR021,Base,Técnico,367,04,3710000,
CAR022,Base,Profesional Universitario,367,04,3710000,
CAR023,Base,Médico,367,04,3710000,
CAR024,Base,Auxiliar Administrativo,367,9,4476000,
CAR025,Base,Técnico,367,9,4476000,
CAR026,Base,Auxiliar Administrativo,407,06,3832000,
CAR027,Base,Técnico,407,07,4145000,
CAR028,Base,Técnico,407,05,3832000,
CAR029,Base,Profesional Universitario,407,05,3832000,
CAR030,Base,Auxiliar Administrativo,407,04,3197000,
CAR031,Base,Técnico,407,06,3832000,
CAR032,Base,Profesional Universitario,407,07,4145000,
CAR033,Base,Auxiliar Administrativo,407,05,3832000,
CAR034,Base,Profesional Universitario,407,06,3832000,
CAR035,Base,Técnico,407,05,3251000,
CAR036,Base,Auxiliar Administrativo,407,05,3513000,
CAR037,Base,Auxiliar Administrativo,407,05,3251000,
CAR038,Base,Auxiliar Administrativo,407,07,4145000,
CAR039,Base,Médico,407,04,3197000,
CAR040,Base,Auxiliar Administrativo,425,9,4431000,
CAR041,Base,Técnico,425,9,4431000,
CAR042,Base,Técnico,440,05,3513000,
CAR043,Base,Auxiliar Administrativo,440,05,3513000,
CAR044,Base,Profesional Universitario,470,05,3197000,
CAR045,Base,Profesional Universitario,480,05,3513000,
CAR046,Base,Técnico,480,05,3197000,
CAR047,Base,Auxiliar Administrativo,480,05,3197000,
CAR048,Base,Técnico,222,07,7304000,
CAR049,Base,Profesional Universitario,407,05,3513000,
CAR050,Base,Médico,440,05,3513000,
CAR051,Base,Técnico,407,04,3197000,
